chapter,chapter_name,section_id,section_name,req_id,req_description,L,日本語訳,ステータス,対応方法,ドキュメント,実装確認結果,インフラリソース,エビデンス,要件対象リソース
V1,Encoding and Sanitization,V1.1,Encoding and Sanitization Architecture,V1.1.1,"Verify that input is decoded or unescaped into a canonical form only once, it is only decoded when encoded data in that form is expected, and that this is done before processing the input further, for example it is not performed after input validation or sanitization.",2,入力が正規形式に一度だけデコードまたはエスケープ解除されること、その形式のエンコードされたデータが期待される場合にのみデコードされること、そしてそれが入力をさらに処理する前に行われること（たとえば、入力の検証やサニタイズの後には実行されないこと）を確認してください。,対応済み,,対象外,要件を満たしている。¥nバックエンド（ECS）のFWとして `fastify` を採用しており、リクエストボディやURLのデコードはFastifyのパースフェーズで自動的かつ一度だけ行われる。その後 `fastify` プラグイン内で正規化されたデータが利用され、入力検証後に再デコードが行われることはない。,対象外,server/service/app.ts¥nFastifyの基本仕様,ソースコード
V1,Encoding and Sanitization,V1.1,Encoding and Sanitization Architecture,V1.1.2,Verify that the application performs output encoding and escaping either as a final step before being used by the interpreter for which it is intended or by the interpreter itself.,2,アプリケーションが、意図されたインタプリタで使用される前の最終ステップとして、またはインタプリタ自体によって、出力のエンコーディングおよびエスケープを実行することを確認してください。,対応済み,,対象外,要件を満たしている。¥nフロントエンドFWとして `React` を使用しており、JSXによるDOMレンダリング時に変数が自動的にエスケープ（出力エンコーディング）される。XSS保護を無効化する `dangerouslySetInnerHTML` は不要な箇所では使用しておらず、必要な場合は `DOMPurify` 等でサニタイズする設計としている。,対象外,client/app/ や client/components/ などのコンポーネント実装¥nReactの基本仕様,ソースコード
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.1,"Verify that output encoding for an HTTP response, HTML document, or XML document is relevant for the context required, such as encoding the relevant characters for HTML elements, HTML attributes, HTML comments, CSS, or HTTP header fields, to avoid changing the message or document structure.",1,HTTPレスポンス、HTMLドキュメント、またはXMLドキュメントの出力エンコーディングが、HTML要素、HTML属性、HTMLコメント、CSS、またはHTTPヘッダーフィールドなど、必要なコンテキストに対して適切であることを確認し、メッセージやドキュメントの構造が変更されないようにしてください。,対応済み,,対象外,要件を満たしている。¥nバックエンド（`fastify`）のレスポンスはデフォルトで `application/json; charset=utf-8` 等の適切な Content-Type が付与され、ブラウザがJSONをHTMLとして誤認してスクリプトを実行するリスクを防いでいる。,対象外,server/service/app.ts のルーティング設定,ドキュメント
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.2,"Verify that when dynamically building URLs, untrusted data is encoded according to its context (e.g., URL encoding or base64url encoding for query or path parameters). Ensure that only safe URL protocols are permitted (e.g., disallow javascript: or data:).",1,URLを動的に構築する際、信頼できないデータがそのコンテキストに従ってエンコードされていること（例：クエリパラメータやパスパラメータのURLエンコーディングまたはbase64urlエンコーディング）を確認してください。安全なURLプロトコルのみが許可されていることを確認してください（例：「javascript:」や「data:」を許可しない）。,対応済み,,対象外,要件を満たしている。¥nフロントエンド（`Next.js`）での動的URL生成には `pathpida` 等を用いて型安全なパス生成を行っており、APIリクエストには `aspida` を用いることでパラメータは自動的にURLエンコードされる。また、外部入力を直接 `href` 等に割り当てる際も javascript: などの危険なプロトコルは許可していない。,対象外,client/utils/ 等のURL生成ロジック,ソースコード
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.3,"Verify that output encoding or escaping is used when dynamically building JavaScript content (including JSON), to avoid changing the message or document structure (to avoid JavaScript and JSON injection).",1,JavaScriptコンテンツ（JSONを含む）を動的に構築する際、メッセージやドキュメントの構造が変更されるのを防ぐ（JavaScriptおよびJSONインジェクションを防ぐ）ために、出力エンコーディングまたはエスケープが使用されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nReact/Next.jsの状態管理やFastifyからのAPIレスポンスにおいて、データは標準のJSONとして処理され、動的にJSコードとして評価されること（eval等）はない。JSON.parse() のみが使用されており安全である。,対象外,client/ および server/ のデータパース実装,ドキュメント
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.4,"Verify that data selection or database queries (e.g., SQL, HQL, NoSQL, Cypher) use parameterized queries, ORMs, entity frameworks, or are otherwise protected from SQL Injection and other database injection attacks. This is also relevant when writing stored procedures.",1,データの選択またはデータベースクエリ（SQL、HQL、NoSQL、Cypherなど）が、パラメータ化クエリ、ORM、エンティティフレームワークを使用しているか、その他の方法でSQLインジェクションやその他のデータベースインジェクション攻撃から保護されていることを確認してください。これはストアドプロシージャを記述する際にも該当します。,対応済み,,対象外,要件を満たしている。¥nデータベース操作には `Prisma` (ORM) を使用しており、パラメータ化クエリが強制されるため、意図しないSQLインジェクションは構造的に対策されている。文字列連結によるクエリ構築は行われていない。,対象外,server/service/prisma.ts¥nserver/repository/ 内のクエリ実装,ソースコード
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.5,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding.,1,アプリケーションがOSコマンドインジェクション攻撃から保護されていること、およびオペレーティングシステム呼び出しがパラメータ化されたOSクエリを使用するか、コンテキストに応じたコマンドライン出力エンコーディングを使用していることを確認してください。,対応済み,,対象外,要件を満たしている。¥nバックエンド（Node.js）において、ユーザー入力を直接用いたOSコマンド実行（exec等）は行われていない。実行が必要な場合でも、child_process.spawn 等を用いてコマンドと引数を厳密に分離する設計としている。,対象外,server/ 内のOSプロセス呼び出し実装（存在しないことの確認）,ソースコード
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.6,"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented.",2,アプリケーションがLDAPインジェクションの脆弱性から保護されていること、またはLDAPインジェクションを防ぐための特定のセキュリティ制御が実装されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥n本システムではLDAPは使用しておらず、認証にはAWS Cognitoを利用しているためLDAPインジェクションのリスクは構造上存在しない。,対象外,インフラ構成（Cognitoの使用）,ソースコード
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.7,Verify that the application is protected against XPath injection attacks by using query parameterization or precompiled queries.,2,クエリのパラメータ化またはプリコンパイル済みクエリを使用することにより、アプリケーションがXPathインジェクション攻撃から保護されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nシステム内でXMLやXPathをパース・クエリする機能は実装されておらず、データフォーマットは一貫してJSONを使用しているためリスクはない。,対象外,server/ 処理フロー全体,ソースコード
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.8,"Verify that LaTeX processors are configured securely (such as not using the ""--shell-escape"" flag) and an allowlist of commands is used to prevent LaTeX injection attacks.",2,LaTeXプロセッサが安全に設定されていること（「--shell-escape」フラグを使用しないなど）、およびLaTeXインジェクション攻撃を防ぐためにコマンドの許可リストが使用されていることを確認してください。,対象外,,対象外,要件を満たしている（該当機能なし）。¥n本システムではLaTeX等によるドキュメントの動的生成機能は提供していない。,対象外,対象外,ソースコード
