chapter_id,chapter_name,section_id,section_name,req_id,req_description,L,日本語訳,明文化・文書化の要点,AWS_React_TypeScript_確認内容
V1,Encoding and Sanitization,V1.1,Encoding and Sanitization Architecture,V1.1.1,"Verify that input is decoded or unescaped into a canonical form only once, it is only decoded when encoded data in that form is expected, and that this is done before processing the input further, for example it is not performed after input validation or sanitization.",2,入力が正規形式にデコードまたはエスケープ解除されるのは一度だけであること、その形式でエンコードされたデータが期待される場合にのみデコードされること、そしてこれが入力をさらに処理する前に行われること（例えば、入力検証やサニタイズの後には行われないこと）を確認してください。,,ECSタスク (TypeScript): ALB等からの入力をデコード・正規化する処理は、コンテナ内のWebアプリケーション（Express/Koa等のミドルウェアやコントローラーの初期フェーズ）で一度だけ実施し、二重デコードによるバリデーションバイパス（WAFのすり抜け等）が起きないように設計・実装されていることを確認する。
V1,Encoding and Sanitization,V1.1,Encoding and Sanitization Architecture,V1.1.2,Verify that the application performs output encoding and escaping either as a final step before being used by the interpreter for which it is intended or by the interpreter itself.,2,アプリケーションが、意図されたインタプリタで使用される前の最終ステップとして、またはインタプリタ自体によって、出力のエンコードとエスケープ処理を実行することを確認してください。,,React / TS: Reactのデフォルト of XSS保護（JSX内の変数自動エスケープ）を無効化する `dangerouslySetInnerHTML` を使用していないこと、または使用する際に出力の直前で `DOMPurify` 等により正しくサニタイズ・エスケープされていることを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.1,"Verify that output encoding for an HTTP response, HTML document, or XML document is relevant for the context required, such as encoding the relevant characters for HTML elements, HTML attributes, HTML comments, CSS, or HTTP header fields, to avoid changing the message or document structure.",1,HTTPレスポンス、HTMLドキュメント、またはXMLドキュメントの出力エンコーディングが、HTML要素、HTML属性、HTMLコメント、CSS、またはHTTPヘッダーフィールドなど、必要なコンテキストに適切であることを確認し、メッセージやドキュメントの構造が変更されないようにします。,,React / CloudFront: ALB/ECSバックエンドのレスポンスまたはCloudFrontで適切な `Content-Type`（`application/json` や `text/html; charset=utf-8` 等）を返し、ブラウザに誤ったHTML解釈やXSSを引き起こさせないことを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.2,"Verify that when dynamically building URLs, untrusted data is encoded according to its context (e.g., URL encoding or base64url encoding for query or path parameters). Ensure that only safe URL protocols are permitted (e.g., disallow javascript: or data:).",1,動的にURLを構築する場合、信頼できないデータはコンテキストに応じてエンコードされていることを確認してください（例：クエリパラメータまたはパスパラメータの場合はURLエンコードまたはbase64urlエンコード）。安全なURLプロトコルのみが許可されていることを確認してください（例：javascript: または data: を禁止する）。,,React / TS: ユーザー入力から動的にURLを生成する場合、`new URL()` を用いてパースし、プロトコルが `http:` または `https:` のみに制限されていること（`javascript:` や `data:` スキームの禁止）、およびクエリパラメータが `URLSearchParams` 等でURLエンコードされていることを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.3,"Verify that output encoding or escaping is used when dynamically building JavaScript content (including JSON), to avoid changing the message or document structure (to avoid JavaScript and JSON injection).",1,JavaScriptコンテンツ（JSONを含む）を動的に構築する際に、出力エンコーディングまたはエスケープ処理が使用されていることを確認してください。これにより、メッセージやドキュメントの構造が変更されるのを防ぎ（JavaScriptやJSONの挿入を防ぐため）、エラーを回避することができます。,,React / TS: JavaScriptコンテンツやJSONを動的に生成する際、信頼できないデータがそのまま埋め込まれず、`JSON.stringify()` で適切にエスケープされてインジェクションが防止されていることを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.4,"Verify that data selection or database queries (e.g., SQL, HQL, NoSQL, Cypher) use parameterized queries, ORMs, entity frameworks, or are otherwise protected from SQL Injection and other database injection attacks. This is also relevant when writing stored procedures.",1,データ選択やデータベースクエリ（SQL、HQL、NoSQL、Cypherなど）において、パラメータ化クエリ、ORM、エンティティフレームワークを使用しているか、あるいはSQLインジェクションやその他のデータベースインジェクション攻撃から保護されていることを確認してください。これはストアドプロシージャを作成する際にも重要です。,,"Aurora (DB) (TypeScript): Aurora (RDBMS) への問い合わせでORM（Prisma, TypeORM, Sequelize等）のパラメータバインドやプレースホルダーを使用したパラメータ化クエリを強制し、SQLインジェクションを防止していることを確認する。"
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.5,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding.,1,アプリケーションがOSコマンドインジェクション攻撃から保護されていること、およびオペレーティングシステム呼び出しがパラメータ化されたOSクエリを使用するか、コンテキストに応じたコマンドライン出力エンコーディングを使用していることを確認してください。,,ECSタスク (TS): OSコマンドを実行する際、`child_process.exec` を避け、シェルを起動しない `child_process.execFile` や `spawn` を使用して引数を配列として渡し、OSコマンドインジェクションを防止していることを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.6,"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented.",2,アプリケーションがLDAPインジェクションの脆弱性から保護されていること、またはLDAPインジェクションを防止するための特定のセキュリティ対策が実装されていることを確認してください。,,"ECS (TS): LDAP連携や認証処理にてユーザー入力をLDAPクエリにバインドする場合、特殊文字（`*`, `(`, `)`, `\` 等）がエスケープまたはサニタイズされていることを確認する。"
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.7,Verify that the application is protected against XPath injection attacks by using query parameterization or precompiled queries.,2,クエリパラメータ化またはプリコンパイル済みクエリを使用して、アプリケーションがXPathインジェクション攻撃から保護されていることを確認してください。,,TS / Node.js: XMLデータの操作でXPathを使用する場合、パラメータ化されたクエリを使用するか、入力に含まれる特殊文字をサニタイズしてXPathインジェクションを防止していることを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.8,"Verify that LaTeX processors are configured securely (such as not using the ""--shell-escape"" flag) and an allowlist of commands is used to prevent LaTeX injection attacks.",2,LaTeXプロセッサが安全に設定されていること（例えば、「--shell-escape」フラグを使用しないなど）、およびLaTeXインジェクション攻撃を防ぐためにコマンドの許可リストが使用されていることを確認してください。,,ECSタスク (TS): LaTeXによるレポート出力等を行う場合、`--shell-escape` などの危険なフラグを無効化し、コンパイル環境をサンドボックス化（特権なしコンテナやECSタスクの厳格なIAM/セキュリティグループ）していることを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.9,Verify that the application escapes special characters in regular expressions (typically using a backslash) to prevent them from being misinterpreted as metacharacters.,2,アプリケーションが正規表現内の特殊文字をエスケープ処理（通常はバックスラッシュを使用）して、それらがメタ文字として誤って解釈されないようにしていることを確認してください。,,React / TS: 動的に正規表現（`new RegExp()`）を生成する場合、入力内の特殊文字（メタ文字）を適切にエスケープ（`escape-string-regexp` 等のライブラリを使用）して不正な挙動を防いでいることを確認する。
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.10,"Verify that the application is protected against CSV and Formula Injection. The application must follow the escaping rules defined in RFC 4180 sections 2.6 and 2.7 when exporting CSV content. Additionally, when exporting to CSV or other spreadsheet formats (such as XLS, XLSX, or ODF), special characters (including '=', '+', '-', '@', '\t' (tab), and '\0' (null character)) must be escaped with a single quote if they appear as the first character in a field value.",3,アプリケーションがCSVおよび数式インジェクション攻撃から保護されていることを確認してください。CSVコンテンツをエクスポートする際は、RFC 4180のセクション2.6および2.7で定義されているエスケープ規則に従う必要があります。さらに、CSVまたはその他のスプレッドシート形式（XLS、XLSX、ODFなど）にエクスポートする場合、フィールド値の最初の文字として特殊文字（'='、'+'、'-'、'@'、'\t'（タブ）、'\0'（ヌル文字）など）が現れた場合は、シングルクォーテーションでエスケープする必要があります。,,"TS / Node.js: CSVまたはスプレッドシート（Excel等）出力を生成する際、入力データの先頭文字が `=`, `+`, `-`, `@`, `\t`, `\0` の場合にシングルクォートでエスケープし、CSV/数式インジェクションを防止していることを確認する。"
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.1,Verify that all untrusted HTML input from WYSIWYG editors or similar is sanitized using a well-known and secure HTML sanitization library or framework feature.,1,WYSIWYGエディタなどからの信頼できないHTML入力はすべて、よく知られた安全なHTMLサニタイズライブラリまたはフレームワーク機能を使用してサニタイズされていることを確認してください。,,React / TS: リッチテキストエディタ（WYSIWYG）からのHTML入力を表示する際、`dompurify` などの信頼性の高いライブラリを使用し、フロントエンドでの描画直前（React of レンダリングフェーズ）に完全にサニタイズされていることを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.2,"Verify that the application avoids the use of eval() or other dynamic code execution features such as Spring Expression Language (SpEL). Where there is no alternative, any user input being included must be sanitized before being executed.",1,アプリケーションがeval()やSpring Expression Language（SpEL）などの動的コード実行機能を使用していないことを確認してください。代替手段がない場合は、含まれるユーザー入力は実行前にサニタイズする必要があります。,,"React / TS / ECS: コード内で `eval()`, `new Function()`, `setTimeout(string)` 等の動的コード実行機能を使用していないことを確認する。"
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.3,"Verify that data being passed to a potentially dangerous context is sanitized beforehand to enforce safety measures, such as only allowing characters which are safe for this context and trimming input which is too long.",2,潜在的に危険なコンテキストに渡されるデータが、事前にサニタイズされていることを確認し、そのコンテキストにとって安全な文字のみを許可したり、長すぎる入力をトリミングしたりするなど、安全対策を徹底してください。,,TS / ECS: Zod等のスキーマバリデーションを用いて、文字列長の上限チェック（トリミング）や文字種制限（アルファベットのみ等）をECSバックエンドのコントローラー境界で強制し、不要なデータを除去していることを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.4,"Verify that user-supplied Scalable Vector Graphics (SVG) scriptable content is validated or sanitized to contain only tags and attributes (such as draw graphics) that are safe for the application, e.g., do not contain scripts and foreignObject.",2,ユーザーが提供するスケーラブルベクターグラフィックス（SVG）スクリプトコンテンツが、アプリケーションにとって安全なタグと属性（グラフィックの描画など）のみを含むように検証またはサニタイズされていることを確認します。たとえば、スクリプトや外部オブジェクトが含まれていないことを確認します。,,AWS S3 / React: ユーザーがアップロードしたSVGを表示する場合、`<object>` や `<iframe>` で直接読み込まず、`dompurify` 等でSVG内のスクリプトタグや `foreignObject` をサニタイズしてから表示するか、S3で適切な `Content-Security-Policy: default-src 'none';` ヘッダーを付与して返していることを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.5,"Verify that the application sanitizes or disables user-supplied scriptable or expression template language content, such as Markdown, CSS or XSL stylesheets, BBCode, or similar.",2,アプリケーションが、Markdown、CSS、XSLスタイルシート、BBCodeなどのユーザー提供のスクリプト言語または式テンプレート言語コンテンツをサニタイズまたは無効化することを確認してください。,,React / TS: Markdown等のマークアップ言語やカスタムCSSをユーザーから受け入れて表示する際、レンダリング時にスクリプト実行やCSSによる悪意あるデータ窃取（CSS Injection）が防止されるよう無効化・サニタイズ処理が実装されていることを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.6,"Verify that the application protects against Server-side Request Forgery (SSRF) attacks, by validating untrusted data against an allowlist of protocols, domains, paths and ports and sanitizing potentially dangerous characters before using the data to call another service.",2,アプリケーションがサーバーサイドリクエストフォージェリ（SSRF）攻撃から保護されていることを確認します。そのためには、信頼できないデータをプロトコル、ドメイン、パス、ポートの許可リストと照合し、潜在的に危険な文字をサニタイズしてから、そのデータを使用して別のサービスを呼び出すようにします。,,"ECS (TS): 外部APIへのリクエスト送信（`axios`, `fetch` 等）をECSコンテナから行う場合、信頼できないURLを直接呼び出さず、宛先のプロトコル（`https` のみ）、ドメイン、ポートをホワイトリストで検証し、SSRF（Server-side Request Forgery）を防止していることを確認する。また、ECSタスクのVPCセキュリティグループでアウトバウンド通信を必要最小限に制限する。"
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.7,"Verify that the application protects against template injection attacks by not allowing templates to be built based on untrusted input. Where there is no alternative, any untrusted input being included dynamically during template creation must be sanitized or strictly validated.",2,アプリケーションが、信頼できない入力に基づいてテンプレートが構築されないようにすることで、テンプレートインジェクション攻撃から保護されていることを確認してください。他に方法がない場合、テンプレート作成中に動的に含まれる信頼できない入力は、サニタイズするか、厳密に検証する必要があります。,,TS / Node.js: EJSやMustache等のテンプレートエンジンを使用する場合、信頼できない入力値に基づいて動的にテンプレート構造自体を構築（Template Injection）していないことを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.8,Verify that the application appropriately sanitizes untrusted input before use in Java Naming and Directory Interface (JNDI) queries and that JNDI is configured securely to prevent JNDI injection attacks.,2,アプリケーションが、Java Naming and Directory Interface (JNDI) クエリで使用する前に、信頼できない入力を適切にサニタイズしていること、およびJNDIインジェクション攻撃を防ぐためにJNDIが安全に構成されていることを確認してください。,,TS / Node.js: JNDIに類する外部リソース探索（Java以外の環境では動的なDNS解決やモジュール読み込みなど）にユーザー入力を介在させない、あるいは厳格にホワイトリスト検証を行っていることを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.9,Verify that the application sanitizes content before it is sent to memcache to prevent injection attacks.,2,アプリケーションがコンテンツをmemcacheに送信する前にサニタイズ処理を行い、インジェクション攻撃を防ぐことを確認してください。,,AWS ElastiCache: キャッシュへの書き込み前にキーおよび値をサニタイズ（コマンド文字や改行コード `\r\n` を除去）し、キャッシュインジェクションを防いでいることを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.10,Verify that format strings which might resolve in an unexpected or malicious way when used are sanitized before being processed.,2,使用時に予期しない、または悪意のある方法で解決される可能性のあるフォーマット文字列は、処理前にサニタイズされていることを確認してください。,,TS / Node.js: `util.format` やロガー（Winston等）へ文字列を出力する際、ユーザー入力を直接フォーマット文字列（第1引数）として渡さず、プレースホルダーを使用していることを確認する。
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.11,Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.,2,アプリケーションがユーザー入力をメールシステムに渡す前にサニタイズし、SMTPまたはIMAPインジェクション攻撃から保護していることを確認してください。,,"ECS / TS: メール送信処理において、件名、宛先（To/Cc/Bcc）、本文にユーザー入力を埋め込む際、改行コード（`\r`, `\n`）を除去または無効化し、SMTPヘッダーインジェクションを防止していることを確認する。"
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.12,"Verify that regular expressions are free from elements causing exponential backtracking, and ensure untrusted input is sanitized to mitigate ReDoS or Runaway Regex attacks.",3,正規表現に指数関数的なバックトラッキングを引き起こす要素が含まれていないことを確認し、信頼できない入力がサニタイズされて、ReDoS攻撃や暴走正規表現攻撃を軽減するようにしてください。,,React / TS / ECS: アプリケーションで使用するすべての正規表現を監査し、指数バックトラッキング（ReDoS）を引き起こす可能性のある脆弱なパターン（ネストされた量指定子など）を排除していること、またユーザー入力に対して実行する際はタイムアウトを設定するか、セーフなエンジンを使用していることを確認する。
V1,Encoding and Sanitization,V1.4,"Memory, String, and Unmanaged Code",V1.4.1,"Verify that the application uses memory-safe string, safer memory copy and pointer arithmetic to detect or prevent stack, buffer, or heap overflows.",2,アプリケーションがメモリセーフな文字列、より安全なメモリコピー、およびポインタ演算を使用して、スタック、バッファ、またはヒープのオーバーフローを検出または防止していることを確認してください。,,TS / Node.js: C++ネイティブアドオンなどを利用する場合を除き、TypeScript/Node.js環境自体はメモリセーフであるが、Buffer操作における `Buffer.allocUnsafe` ではなく `Buffer.alloc` を使用していること、および整数オーバーフロー（JSでは `Number.MAX_SAFE_INTEGER` 以上の数値操作）による論理バグが生じないよう `BigInt` や Zod による範囲検証を行っていることを確認する。
V1,Encoding and Sanitization,V1.4,"Memory, String, and Unmanaged Code",V1.4.2,"Verify that sign, range, and input validation techniques are used to prevent integer overflows.",2,整数オーバーフローを防ぐために、符号、範囲、および入力値の検証手法が使用されていることを確認してください。,,TS / Node.js: C++ネイティブアドオンなどを利用する場合を除き、TypeScript/Node.js環境自体はメモリセーフであるが、Buffer操作における `Buffer.allocUnsafe` ではなく `Buffer.alloc` を使用していること、および整数オーバーフロー（JSでは `Number.MAX_SAFE_INTEGER` 以上の数値操作）による論理バグが生じないよう `BigInt` や Zod による範囲検証を行っていることを確認する。
V1,Encoding and Sanitization,V1.4,"Memory, String, and Unmanaged Code",V1.4.3,"Verify that dynamically allocated memory and resources are released, and that references or pointers to freed memory are removed or set to null to prevent dangling pointers and use-after-free vulnerabilities.",2,動的に割り当てられたメモリとリソースが解放されていること、および解放されたメモリへの参照またはポインタが削除されるか、nullに設定されていることを確認し、ダングリングポインタや解放後使用の脆弱性を防止します。,,TS / Node.js: C++ネイティブアドオンなどを利用する場合を除き、TypeScript/Node.js環境自体はメモリセーフであるが、Buffer操作における `Buffer.allocUnsafe` ではなく `Buffer.alloc` を使用していること、および整数オーバーフロー（JSでは `Number.MAX_SAFE_INTEGER` 以上の数値操作）による論理バグが生じないよう `BigInt` や Zod による範囲検証を行っていることを確認する。
V1,Encoding and Sanitization,V1.5,Safe Deserialization,V1.5.1,Verify that the application configures XML parsers to use a restrictive configuration and that unsafe features such as resolving external entities are disabled to prevent XML eXternal Entity (XXE) attacks.,1,アプリケーションがXMLパーサーを制限的な構成で使用するように設定し、外部エンティティの解決などの安全でない機能が無効になっていることを確認して、XML外部エンティティ（XXE）攻撃を防止します。,,TS / Node.js: `fast-xml-parser` や `libxmljs` 等のXMLパーサーを使用する際、外部実体参照（XXE）およびエンティティ展開（Billion Laughs攻撃）が無効に設定されていることを確認する。
V1,Encoding and Sanitization,V1.5,Safe Deserialization,V1.5.2,"Verify that deserialization of untrusted data enforces safe input handling, such as using an allowlist of object types or restricting client-defined object types, to prevent deserialization attacks. Deserialization mechanisms that are explicitly defined as insecure must not be used with untrusted input.",2,信頼できないデータの逆シリアル化において、オブジェクトタイプの許可リストの使用やクライアント定義のオブジェクトタイプの制限など、安全な入力処理が強制されていることを確認し、逆シリアル化攻撃を防止してください。明示的に安全でないと定義されている逆シリアル化メカニズムは、信頼できない入力には使用しないでください。,,React / TS: `node-serialize` や `cryo` 等の任意のコードを実行可能なデシリアライズライブラリを使用せず、データ交換には `JSON.parse` のみを使用し、かつ `JSON.parse` 実行時のプロトタイプ汚染（Prototype Pollution）対策（オブジェクトの凍結やZod等によるスキーマ検証）が行われていることを確認する。
V1,Encoding and Sanitization,V1.5,Safe Deserialization,V1.5.3,"Verify that different parsers used in the application for the same data type (e.g., JSON parsers, XML parsers, URL parsers), perform parsing in a consistent way and use the same character encoding mechanism to avoid issues such as JSON Interoperability vulnerabilities or different URI or file parsing behavior being exploited in Remote File Inclusion (RFI) or Server-side Request Forgery (SSRF) attacks.",3,アプリケーション内で同じデータ型に使用される異なるパーサー（JSONパーサー、XMLパーサー、URLパーサーなど）が、一貫した方法で解析を実行し、同じ文字エンコードメカニズムを使用していることを確認してください。これにより、JSON相互運用性の脆弱性や、異なるURIまたはファイル解析動作がリモートファイルインクルージョン（RFI）攻撃やサーバーサイドリクエストフォージェリ（SSRF）攻撃で悪用されるといった問題を回避できます。,,ECS / CloudFront / React: フロントエンドとバックエンドで同じJSONスキーマまたはデータ構造定義を共有し（Zod等を使用）、異なるパーサー（CloudFrontのWAF/ALBとECS内の `JSON.parse` 等）間で解釈の不一致（Parser Differential）が生じないことを確認する。
V2,Validation and Business Logic,V2.1,Validation and Business Logic Documentation,V2.1.1,"Verify that the application's documentation defines input validation rules for how to check the validity of data items against an expected structure. This could be common data formats such as credit card numbers, email addresses, telephone numbers, or it could be an internal data format.",1,アプリケーションのドキュメントに、データ項目の妥当性を想定される構造と照合してチェックするための入力検証ルールが定義されていることを確認してください。これは、クレジットカード番号、メールアドレス、電話番号などの一般的なデータ形式の場合もあれば、独自の内部データ形式の場合もあります。,入力検証ルールの定義（データ項目の妥当性チェック方法）,React / TS / ECS: ZodやYupを用いて、電話番号、メールアドレス、パスワードなどの共通データ形式に対する入力検証ルールが定義され、フロント（React）とバック（ECS）の双方で一貫して適用されていることをドキュメントおよびコードで確認する。
V2,Validation and Business Logic,V2.1,Validation and Business Logic Documentation,V2.1.2,"Verify that the application's documentation defines how to validate the logical and contextual consistency of combined data items, such as checking that suburb and ZIP code match.",2,アプリケーションのドキュメントに、郊外名と郵便番号が一致しているかどうかなど、結合されたデータ項目の論理的および文脈的な一貫性を検証する方法が定義されていることを確認してください。,結合されたデータ項目の論理的・文脈的な一貫性検証方法の定義,TS / ECS: 関連する複数の入力項目（郵便番号と住所の整合性など）の論理的・文脈的一貫性を検証するロジック（Zodの `.refine()` など）が定義されていることを確認する。
V2,Validation and Business Logic,V2.1,Validation and Business Logic Documentation,V2.1.3,"Verify that expectations for business logic limits and validations are documented, including both per-user and globally across the application.",2,ビジネスロジックの制限と検証に関する要件が、ユーザーごとおよびアプリケーション全体にわたって文書化されていることを確認してください。,ビジネスロジックの制限と検証に関する要件（ユーザー単位およびアプリケーション全体）の文書化,ECS (TS): ビジネスロジックにおけるシステム制限（1ユーザーあたりの1日の送信上限、アプリケーション全体の最大在庫数など）の設計と実装内容がドキュメント化されていることを確認する。
